COGS_Attribute,R_squared,Pearson_r,Mean_COGS,Max_COGS
COGS_Meat/Sausage (CHF),0.6465049903890755,0.8040553403771883,7.317948717948719,22.0
COGS_Sauce (CHF),0.49761537079520524,0.7054185784307112,0.8500000000000002,3.6
COGS_Salad Greens (CHF),0.07707631440415008,-0.2776262134672269,0.21666666666666665,1.7
COGS_Pasta/Noodles (CHF),0.04006567223356561,-0.200164113251017,0.03333333333333333,0.8
COGS_Vegetables (CHF),0.013380219972352059,-0.11567290076916202,0.07692307692307694,0.5
COGS_Mushrooms (CHF),0.006691907879527781,0.08180408229133782,0.0641025641025641,2.5
COGS_Rice (CHF),0.005924412411774438,0.07697020470139501,0.010256410256410256,0.4
COGS_Cheese (CHF),0.00397188872118881,-0.06302292218858929,0.22564102564102562,2.4
COGS_Potatoes (CHF),0.0006380787314409497,0.025260220336353893,0.05128205128205128,0.5
COGS_Bread/Toast (CHF),5.656195634085037e-08,-0.00023782757652717002,0.04871794871794872,0.6
