Dish Name,COGS_Meat/Sausage (CHF),COGS_Cheese (CHF),COGS_Mushrooms (CHF),COGS_Potatoes (CHF),COGS_Pasta/Noodles (CHF),COGS_Bread/Toast (CHF),COGS_Salad Greens (CHF),COGS_Rice (CHF),COGS_Sauce (CHF),COGS_Vegetables (CHF),Estimated dish weight (kg),Price (CHF),Total COGS Estimated (CHF),Healthiness,Cluster_k4,Cluster_k6,PCA_PC1,PCA_PC2
Bouillon with Flaedli,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,8.0,0.8,5,3,3,-2.2886075365869414,-2.631110909589639
Seasonal soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,9.0,0.5,5,1,2,-1.769270020979301,2.384188035934575
"Butterhead lettuce ""Mimosa""",0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.25,9.0,1.7,5,2,1,-2.402290923994184,0.34790070447882876
"Lamb's lettuce ""Mimosa""",0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.25,10.0,1.7,4,2,1,-2.402290923994184,0.3479007044788295
Mixed salad,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.1,0.3,9.5,1.6,4,2,1,-2.3769374859142003,0.796912893518273
Coleslaw salad,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.2,6.5,1.1,5,2,1,-2.015327691189224,0.6477888837029334
Beefsteak Tartar (small portion),4.75,0.0,0.0,0.0,0.0,0.3,0.35,0.0,0.4,0.0,0.25,24.0,5.8,3,1,5,-0.7266465239855948,0.629085892358298
Beefsteak Tartar (large portion),7.6,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.0,0.4,32.0,9.2,3,1,5,-0.4556004420411401,1.1271192157251717
Raw ham,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,19.0,5.7,2,1,2,-0.5502734874541553,-0.2008965188014233
Buendnerfleisch,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,21.0,5.7,2,1,2,-0.5502734874541553,-0.20089651880142304
Hobelkaese,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,15.0,2.4,3,3,3,-2.0336459951180843,-1.837260314782233
Sausage and cheese salad,6.7,1.1,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.35,23.5,8.8,2,3,3,-0.8065826215079919,-0.791463113847142
Sausage salad,5.7,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.1,0.3,16.5,6.9,2,1,2,-0.7128669917576107,0.5234997504749919
Boersensalat,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.4,23.0,8.1,2,1,2,-0.34696249807655355,0.8245732692131607
Sliced veal liver,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.3,36.0,7.9,3,1,2,0.16462966830097173,0.36518460928924334
Viennese schnitzel,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.3,36.5,9.0,3,1,2,0.28476976442774704,0.3571226533420666
Sliced veal in Zurich style,6.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0.35,36.5,10.6,3,1,4,1.0661618003928786,1.1944406552667945
Veal cordon bleu,6.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.35,38.0,8.8,1,3,3,-0.80131405373146,-0.8499943669969153
Pork cordon bleu,6.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.35,32.0,8.8,1,3,3,-0.80131405373146,-0.8499943669969153
Buergermeister Schwert,22.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.1,0.8,88.0,23.7,2,1,2,1.4580195254793096,0.44082188597198174
Whole pork knuckle,16.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.7,33.0,17.5,2,1,2,1.8906624403954106,-1.8730871133533369
Beef pieces,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0,0.6,36.0,16.4,3,4,6,3.469072745960522,-0.33198778674038615
Roast pork,14.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.6,29.0,15.5,3,1,2,1.6722259019830912,-1.8584290116311974
Pike-perch fillets in crispy dough,6.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.1,0.4,31.0,7.4,3,1,2,0.4652971498545795,-0.6230257318779585
Zurich veal bratwurst,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.35,20.0,10.5,3,1,2,0.5158010871516748,0.35421911504305437
Zwingli sausage,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.35,22.0,10.5,2,1,2,0.5158010871516748,0.35421911504305437
"Wiediker ""Roschtbratwurst""",9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.35,22.5,10.5,3,1,2,0.5158010871516748,0.35421911504305437
"Hungarian paprika ""snail""",9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.35,24.0,10.9,2,1,2,1.0257202961382068,-0.11765701339009735
Waadtlaender Saucisson,11.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.5,29.0,12.5,2,1,2,1.046935105206548,-1.527390338162323
"Augustiner ""Schueblig"" sausage",9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.35,19.5,10.5,2,1,2,0.5158010871516748,0.35421911504305437
Zeughauskeller sausage skewer,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0.5,31.0,15.0,1,1,2,1.3433028931528361,0.3616885761312032
"Zeughauskeller ""Kanonenputzer""",10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.4,44.0,12.4,1,1,2,1.3911594566915122,-0.10438047570392421
"Zeughauskeller ""Kanonenputzer""",21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.8,88.0,24.9,1,1,2,3.966058362232904,-0.05037292760063034
Aelplermagronen,0.0,1.9,0.0,0.3,0.5,0.0,0.0,0.0,0.6,0.0,0.4,21.5,3.3,3,3,3,-1.7620827943491197,-3.9906625030669756
Zeughauskeller burger,8.55,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.35,0.1,0.45,28.0,10.6,2,1,5,0.43242205311135884,1.764607722137713
Incredible Burger,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.3,0.4,26.5,1.3,4,1,5,-1.3600466785483016,2.5523242384442173
Veal paillard,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.1,0.4,35.0,9.6,3,1,2,0.9551359961836428,0.42553556475875814
Sliced chicken,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.1,0.4,32.5,9.6,4,1,2,0.9551359961836428,0.42553556475875814
Chicken breast,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,0.4,28.0,9.2,4,1,2,0.5124207061117996,0.9055017311845026
